rank,lemma,frequency,core_band,language
1001,investition,42,Core-2000,de
1002,unabhängig,41,Core-2000,de
1003,jahrhundert,41,Core-2000,de
1004,konflikt,41,Core-2000,de
1005,veränderung,41,Core-2000,de
1006,hamas,41,Core-2000,de
1007,damalig,41,Core-2000,de
1008,gründen,41,Core-2000,de
1009,lieben,41,Core-2000,de
1010,stoßen,41,Core-2000,de
1011,autofahrer,41,Core-2000,de
1012,bestehend,41,Core-2000,de
1013,gewalt,41,Core-2000,de
1014,bedeutung,41,Core-2000,de
1015,sport,41,Core-2000,de
1016,strecke,40,Core-2000,de
1017,vorbei,40,Core-2000,de
1018,italien,40,Core-2000,de
1019,song,40,Core-2000,de
1020,bezahlen,40,Core-2000,de
1021,antrag,40,Core-2000,de
1022,emotional,40,Core-2000,de
1023,netz,40,Core-2000,de
1024,polizist,40,Core-2000,de
1025,hamburger,40,Core-2000,de
1026,lokal,40,Core-2000,de
1027,münchner,40,Core-2000,de
1028,alexander,40,Core-2000,de
1029,finale,40,Core-2000,de
1030,frankreich,40,Core-2000,de
1031,museum,40,Core-2000,de
1032,bayer,40,Core-2000,de
1033,zentrum,40,Core-2000,de
1034,treiben,40,Core-2000,de
1035,müller,40,Core-2000,de
1036,abschluss,40,Core-2000,de
1037,motto,40,Core-2000,de
1038,armee,40,Core-2000,de
1039,erheblich,40,Core-2000,de
1040,verwaltung,40,Core-2000,de
1041,drehen,40,Core-2000,de
1042,nötig,40,Core-2000,de
1043,vorschlag,40,Core-2000,de
1044,unmittelbar,40,Core-2000,de
1045,investieren,39,Core-2000,de
1046,verband,39,Core-2000,de
1047,alternative,39,Core-2000,de
1048,berg,39,Core-2000,de
1049,mittel,39,Core-2000,de
1050,schätzen,39,Core-2000,de
1051,botschaft,39,Core-2000,de
1052,test,39,Core-2000,de
1053,ausschließen,39,Core-2000,de
1054,forderung,39,Core-2000,de
1055,kontrollieren,39,Core-2000,de
1056,einfluss,39,Core-2000,de
1057,anspruch,39,Core-2000,de
1058,ergeben,39,Core-2000,de
1059,staatlich,39,Core-2000,de
1060,stolz,39,Core-2000,de
1061,universität,39,Core-2000,de
1062,zerstören,39,Core-2000,de
1063,spannend,39,Core-2000,de
1064,enthalten,39,Core-2000,de
1065,verfahren,39,Core-2000,de
1066,teilweise,38,Core-2000,de
1067,linker,38,Core-2000,de
1068,rein,38,Core-2000,de
1069,kirche,38,Core-2000,de
1070,herz,38,Core-2000,de
1071,mehrheit,38,Core-2000,de
1072,natur,38,Core-2000,de
1073,grundsätzlich,38,Core-2000,de
1074,einst,38,Core-2000,de
1075,ministerpräsident,38,Core-2000,de
1076,wiederum,38,Core-2000,de
1077,retten,38,Core-2000,de
1078,intensiv,38,Core-2000,de
1079,vorerst,38,Core-2000,de
1080,herrschen,38,Core-2000,de
1081,klub,38,Core-2000,de
1082,lauf,38,Core-2000,de
1083,prägen,38,Core-2000,de
1084,vertreten,38,Core-2000,de
1085,wagen,38,Core-2000,de
1086,infrastruktur,38,Core-2000,de
1087,fahrt,38,Core-2000,de
1088,streit,38,Core-2000,de
1089,app,38,Core-2000,de
1090,ziemlich,38,Core-2000,de
1091,parlament,38,Core-2000,de
1092,tödlich,38,Core-2000,de
1093,kritisch,38,Core-2000,de
1094,ereignen,37,Core-2000,de
1095,diskutieren,37,Core-2000,de
1096,langjährig,37,Core-2000,de
1097,tour,37,Core-2000,de
1098,kurzfristig,37,Core-2000,de
1099,verzichten,37,Core-2000,de
1100,wunsch,37,Core-2000,de
1101,vermutlich,37,Core-2000,de
1102,baum,37,Core-2000,de
1103,wahr,37,Core-2000,de
1104,sorge,37,Core-2000,de
1105,erlauben,37,Core-2000,de
1106,dein,37,Core-2000,de
1107,dir,37,Core-2000,de
1108,licht,37,Core-2000,de
1109,riesig,37,Core-2000,de
1110,militärisch,37,Core-2000,de
1111,sprache,37,Core-2000,de
1112,töten,37,Core-2000,de
1113,einstellen,37,Core-2000,de
1114,bremen,37,Core-2000,de
1115,sammeln,37,Core-2000,de
1116,beschreiben,37,Core-2000,de
1117,mögen,37,Core-2000,de
1118,selenskyj,37,Core-2000,de
1119,stärke,37,Core-2000,de
1120,weise,37,Core-2000,de
1121,osten,37,Core-2000,de
1122,einrichtung,37,Core-2000,de
1123,heiß,37,Core-2000,de
1124,bedingung,37,Core-2000,de
1125,robert,37,Core-2000,de
1126,gegner,37,Core-2000,de
1127,frisch,36,Core-2000,de
1128,umgehen,36,Core-2000,de
1129,vorbereiten,36,Core-2000,de
1130,prozess,36,Core-2000,de
1131,gezielt,36,Core-2000,de
1132,umgang,36,Core-2000,de
1133,verbessern,36,Core-2000,de
1134,treffer,36,Core-2000,de
1135,betreiben,36,Core-2000,de
1136,feld,36,Core-2000,de
1137,speziell,36,Core-2000,de
1138,vertreter,36,Core-2000,de
1139,new,36,Core-2000,de
1140,verfügen,36,Core-2000,de
1141,verletzter,36,Core-2000,de
1142,allgemein,36,Core-2000,de
1143,schutz,36,Core-2000,de
1144,google,36,Core-2000,de
1145,unbekannte,36,Core-2000,de
1146,jedenfalls,36,Core-2000,de
1147,heimat,36,Core-2000,de
1148,gern,36,Core-2000,de
1149,vorgehen,36,Core-2000,de
1150,suche,36,Core-2000,de
1151,signal,36,Core-2000,de
1152,schloss,36,Core-2000,de
