rank,lemma,frequency,core_band,language
204,gemeinsam,187,Core-1000,de
205,erhalten,187,Core-1000,de
206,genau,187,Core-1000,de
207,fünf,187,Core-1000,de
208,welt,187,Core-1000,de
209,zwar,187,Core-1000,de
210,einmal,183,Core-1000,de
211,derzeit,182,Core-1000,de
212,team,181,Core-1000,de
213,bekannt,180,Core-1000,de
214,familie,177,Core-1000,de
215,statt,175,Core-1000,de
216,laufen,173,Core-1000,de
217,tun,173,Core-1000,de
218,bekommen,173,Core-1000,de
219,ziel,173,Core-1000,de
220,ort,172,Core-1000,de
221,direkt,171,Core-1000,de
222,fast,170,Core-1000,de
223,thema,168,Core-1000,de
224,bereich,167,Core-1000,de
225,schaffen,167,Core-1000,de
226,du,167,Core-1000,de
227,sogar,166,Core-1000,de
228,fahren,165,Core-1000,de
229,schreiben,164,Core-1000,de
230,neben,164,Core-1000,de
231,straße,164,Core-1000,de
232,regierung,163,Core-1000,de
233,oft,162,Core-1000,de
234,brauchen,162,Core-1000,de
235,gehören,161,Core-1000,de
236,fallen,161,Core-1000,de
237,fordern,161,Core-1000,de
238,erreichen,161,Core-1000,de
239,gerade,160,Core-1000,de
240,einsatz,160,Core-1000,de
241,ebenfalls,160,Core-1000,de
242,kommend,159,Core-1000,de
243,sonntag,159,Core-1000,de
244,platz,158,Core-1000,de
245,punkt,158,Core-1000,de
246,beginnen,157,Core-1000,de
247,nutzen,157,Core-1000,de
248,trotz,157,Core-1000,de
249,ukraine,157,Core-1000,de
250,problem,156,Core-1000,de
251,nichts,155,Core-1000,de
252,darauf,155,Core-1000,de
253,wissen,155,Core-1000,de
254,zuletzt,155,Core-1000,de
255,europa,154,Core-1000,de
256,öffentlich,153,Core-1000,de
257,präsident,152,Core-1000,de
258,ihnen,150,Core-1000,de
259,mussen,149,Core-1000,de
260,teilen,149,Core-1000,de
261,folge,148,Core-1000,de
262,solcher,148,Core-1000,de
263,steigen,146,Core-1000,de
264,geld,146,Core-1000,de
265,kosten,146,Core-1000,de
266,arbeit,145,Core-1000,de
267,arbeiten,145,Core-1000,de
268,leicht,144,Core-1000,de
269,angabe,143,Core-1000,de
270,insgesamt,143,Core-1000,de
271,handeln,143,Core-1000,de
272,gespräch,142,Core-1000,de
273,pro,141,Core-1000,de
274,verletzen,141,Core-1000,de
275,betonen,140,Core-1000,de
276,deshalb,140,Core-1000,de
277,richtung,140,Core-1000,de
278,grund,140,Core-1000,de
279,erwarten,139,Core-1000,de
280,übernehmen,139,Core-1000,de
281,fest,139,Core-1000,de
282,politisch,139,Core-1000,de
283,freitag,139,Core-1000,de
284,gleich,138,Core-1000,de
285,wohl,136,Core-1000,de
286,stunde,136,Core-1000,de
287,auto,136,Core-1000,de
288,offen,135,Core-1000,de
289,ja,135,Core-1000,de
290,berlin,135,Core-1000,de
291,gewinnen,135,Core-1000,de
292,fc,134,Core-1000,de
293,weiterhin,134,Core-1000,de
294,bislang,133,Core-1000,de
295,anfang,132,Core-1000,de
296,russisch,132,Core-1000,de
297,fahrzeug,131,Core-1000,de
298,wenig,131,Core-1000,de
299,wirklich,131,Core-1000,de
300,zahl,131,Core-1000,de
301,ergebnis,131,Core-1000,de
302,möchten,131,Core-1000,de
303,europäisch,131,Core-1000,de
304,bisher,131,Core-1000,de
305,hinter,131,Core-1000,de
306,preis,130,Core-1000,de
307,sicher,130,Core-1000,de
308,bild,130,Core-1000,de
309,starten,129,Core-1000,de
310,zunächst,129,Core-1000,de
311,mir,128,Core-1000,de
312,mich,128,Core-1000,de
313,eigentlich,127,Core-1000,de
314,zuvor,127,Core-1000,de
315,dienstag,126,Core-1000,de
316,legen,126,Core-1000,de
317,projekt,126,Core-1000,de
318,verein,126,Core-1000,de
319,merz,126,Core-1000,de
320,verschieden,126,Core-1000,de
321,lässt,125,Core-1000,de
322,planen,124,Core-1000,de
323,natürlich,124,Core-1000,de
324,zusätzlich,123,Core-1000,de
325,feuerwehr,123,Core-1000,de
326,minute,122,Core-1000,de
327,erneut,122,Core-1000,de
328,richtig,122,Core-1000,de
329,juni,122,Core-1000,de
330,samstag,122,Core-1000,de
331,international,122,Core-1000,de
332,verlieren,121,Core-1000,de
333,nie,121,Core-1000,de
334,entscheiden,121,Core-1000,de
335,folgen,121,Core-1000,de
336,zehn,121,Core-1000,de
337,zusammen,120,Core-1000,de
338,gruppe,120,Core-1000,de
339,entwicklung,120,Core-1000,de
340,mittwoch,120,Core-1000,de
341,entstehen,120,Core-1000,de
342,blick,119,Core-1000,de
343,geschichte,119,Core-1000,de
344,kaum,119,Core-1000,de
345,recht,119,Core-1000,de
346,lange,118,Core-1000,de
347,voll,118,Core-1000,de
348,gar,118,Core-1000,de
349,suchen,118,Core-1000,de
350,gegenüber,118,Core-1000,de
351,nachdem,118,Core-1000,de
352,österreich,117,Core-1000,de
353,paar,117,Core-1000,de
354,darüber,117,Core-1000,de
355,helfen,116,Core-1000,de
356,partei,116,Core-1000,de
357,sechs,115,Core-1000,de
358,saison,115,Core-1000,de
359,denken,115,Core-1000,de
360,russland,115,Core-1000,de
361,beispiel,114,Core-1000,de
362,damals,114,Core-1000,de
363,befinden,114,Core-1000,de
364,montag,113,Core-1000,de
365,milliarde,113,Core-1000,de
366,israel,113,Core-1000,de
367,warum,112,Core-1000,de
368,zukunft,112,Core-1000,de
369,feiern,112,Core-1000,de
370,melden,111,Core-1000,de
371,seite,111,Core-1000,de
372,freuen,111,Core-1000,de
373,daher,111,Core-1000,de
374,gemeinde,111,Core-1000,de
375,viele,111,Core-1000,de
376,aufgrund,110,Core-1000,de
377,daß,110,Core-1000,de
378,september,109,Core-1000,de
379,mai,109,Core-1000,de
380,dezember,109,Core-1000,de
381,anders,109,Core-1000,de
382,region,109,Core-1000,de
383,außerdem,109,Core-1000,de
384,meister,108,Core-1000,de
385,rolle,108,Core-1000,de
386,tragen,107,Core-1000,de
387,zufolge,107,Core-1000,de
388,fan,106,Core-1000,de
389,gast,106,Core-1000,de
390,entscheidung,105,Core-1000,de
391,dritter,105,Core-1000,de
392,künftig,105,Core-1000,de
393,je,105,Core-1000,de
394,entwickeln,104,Core-1000,de
395,versuchen,104,Core-1000,de
