274	744	8	72.53
1292	12	7	10.34
285	140	3	4.33
2290	14	6	11.17
218	1427	3	23.06
128	633	4	14.02
157	220	5	11.89
210	229	4	14.08
241	113	17	40.04
4292	14	3	5.32
1951	12	4	4.79
8	1686	6	37.95
1770	106	3	10.14
253	1040	3	22.58
728	1707	3	34.33
185	132	6	7.27
116	10783	4	40.6
101	8114	3	15.25
122	736	4	12.79
771	106	10	40.68
5785	102	3	11.83
110	118	193	520.84
106	5636	4	27.06
4036	14	3	5.32
237	415	10	76.6
3020	129	3	18.65
852	235	3	20.53
2261	104	7	31.89
134	1228	5	28.02
107	630	9	30.85
3809	5029	5	96.34
3711	123	3	19.36
841	2439	3	37.55
117	296	7	13.04
175	346	5	23.83
102	9404	4	29.55
437	195	4	20.92
164	343	6	27.68
10831	12	3	14.23
343	142	3	6.29
1263	114	29	246.38
121	384	15	63.34
104	4210	5	26.59
102	2490	3	6.4
101	1995	9	34.67
7979	111	3	22.64
449	116	3	3.89
357	130	3	5.4
306	132	7	20.86
151	255	5	12.9
1062	108	15	86.7
147	194	21	88.52
120	1405	3	11.23
106	8665	3	21.87
1107	12	7	8.57
417	309	3	18.55
105	1301	6	23.23
2309	272	3	28.12
565	111	8	25.32
9870	2287	3	56.34
1150	103	4	6.16
3190	14	5	10.87
736	122	4	12.79
117	2979	5	31.95
115	1397	3	9.98
3625	14	3	4.39
106	752	32	212.73
110	1276	3	8.74
164	924	6	41.7
133	1298	3	13.9
537	12	9	3.93
106	1216	15	90.36
132	250	7	15.97
978	795	3	31.36
115	1065	6	24.88
13790	103	3	23.24
1071	12	11	21.39
1316	156	4	25.71
412	118	3	3.9
192	245	4	13.83
2709	141	3	19.13
322	508	3	20.29
289	158	12	59.89
261	200	3	9.75
8912	156	3	31.31
1559	138	3	15.39
366	1597	3	28.97
233	236	13	81.37
117	3012	3	15.72
1126	9	3	12.04
108	2920	3	13.46
1972	564	4	47.35
830	281	4	31.77
3380	12	4	9.01
327	14	53	100.73
117	1930	9	60.58
203	399	4	20.62
146	325	3	6.64
299	112	5	4.87
112	447	24	116.84
270	141	4	7.04
102	1095	5	7.75
105	439	14	44.07
1299	14	11	21.34
218	768	3	19
149	1828	5	36.1
2112	131	7	52.05
691	300	5	41.54
105	1338	5	17.78
1470	242	3	24.16
2970	171	3	25.05
102	1367	5	9.74
12	138	566	1657.05
1811	102	6	16.78
552	906	9	106.45
120	1362	3	11.06
109	2100	3	11.35
2234	572	3	34.61
143	139	36	102.61
142	1252	4	21.95
528	14	11	4.35
818	9634	4	72.4
203	109	8	4.31
109	1262	3	8.42
167	184	4	8.02
705	109	3	5.1
139	989	8	50
119	242	8	11.82
121	13692	3	31.59
109	2344	4	18.69
112	9734	3	24.94
11004	241	4	58.81
3029	12	4	7.95
1407	121	6	31.8
2969	1094	3	40.72
3092	522	3	36.05
416	167	3	11.73
388	209	4	20.75
124	693	3	8.7
147	3085	4	31.43
515	110	4	6.75
221	1140	3	21.66
104	762	27	137.46
185	104	41	73.49
9	17	6	28.02
158	107	19	14.19
1497	14	11	24.62
1947	131	3	16.17
120	790	3	7.73
2525	12	10	36.65
136	379	3	6.35
737	1022	3	31.18
140	374	3	6.55
3430	9	7	60.29
1661	106	5	21.36
199	237	11	59.85
113	1108	7	31.68
133	1861	3	16.06
223	294	6	32.06
590	103	7	9.01
171	150	5	6.8
493	5212	4	55.29
114	874	3	7.11
101	11563	3	21.88
2133	14	11	32.92
107	1265	7	31.04
166	552	3	13.48
181	1711	7	64.74
214	151	4	6.78
517	145	3	9.67
128	2092	4	24.13
3925	131	4	30.6
102	4432	5	23.33
1909	127	3	15.73
127	12	118	19.19
159	527	4	18
102	2171	6	19.35
933	114	3	7.51
153	105	100	307.62
124	4590	3	20.93
416	114	12	40.67
104	1116	6	16.29
3376	131	3	19.89
102	3569	3	8.62
104	5434	5	31.07
148	250	11	42.01
13483	118	3	31.04
2447	14	7	15.93
133	661	3	9.63
8842	14	5	28.81
205	348	3	12.94
139	1977	3	17.04
235	194	4	13.45
2306	14	7	15.21
110	428	6	11.91
110	2033	3	11.43
106	489	8	20.86
5074	14	3	6.52
140	957	3	12.58
2340	236	4	38.69
120	5899	3	21.67
101	7162	3	13.72
105	3526	3	13.86
102	1645	5	11.49
12	4319	3	6.48
4776	104	4	21.04
787	106	4	9.3
177	621	25	242.38
458	105	7	14.04
667	168	3	14.93
102	296	50	144.65
447	12	13	8.23
101	5342	3	11.56
5623	14	3	7.28
818	6167	7	127.07
12	3992	10	51.48
217	105	45	146.78
316	142	3	5.59
1233	103	8	23.69
105	405	7	12.21
422	473	3	22.04
151	302	5	15.9
1839	209	8	81.83
102	4108	4	15.48
154	102	59	41.68
2215	103	3	6.51
180	14	144	256.72
8	4758	3	22.03
151	333	3	7.63
336	121	18	75.53
395	16	4	6.34
4850	113	3	18.36
383	119	4	6.42
101	1195	4	5.07
158	647	3	13.12
177	650	5	31.3
122	1074	3	10.31
721	109	7	23.01
112	693	3	5.51
1732	14	6	8.01
676	110	4	8.78
206	251	34	275.6
113	234	12	20.59
108	559	5	10.43
114	1351	3	9.57
531	110	7	18.95
407	625	5	44.82
1216	14	12	23.5
109	897	8	32.05
905	109	4	10.75
127	136	54	157.29
865	14	30	97.12
101	1631	3	3.96
120	775	15	86.83
153	931	5	30.07
455	144	4	13.84
3419	12	3	5.09
12	617	8	4.04
102	1930	3	4.93
8	2719	5	35.23
138	449	5	17.42
7258	14	3	9.31
15285	12	3	18.63
502	1025	3	28.59
1315	14	13	29.7
114	3159	6	39.45
379	186	5	25.9
132	541	3	8.28
16	2912	3	15.42
3653	2013	4	64.12
116	4373	3	18.32
466	244	3	16.79
112	2794	7	45.77
116	1148	3	9.32
142	2427	4	27.41
1003	121	3	9.62
162	2507	4	32.98
108	444	11	33.33
133	1138	4	19.84
139	355	3	6.19
2632	3443	12	249.04
258	467	3	17.36
112	505	5	10.49
167	824	3	16.28
112	2911	8	56.41
469	121	11	44.98
172	119	23	50.65
2949	103	3	8.34
913	14	7	4.1
160	492	3	11.76
156	1656	3	18.83
4446	137	6	56.43
1886	102	3	4.73
868	104	5	9.47
121	3019	5	32.9
1496	201	3	22.45
217	234	3	9.48
7442	159	3	30.14
101	7047	4	21.64
12	312	23	16.82
240	172	10	46.67
1705	121	3	12.78
4636	12	3	7.06
102	4040	3	9.68
104	1531	5	14.99
1617	159	3	19.04
389	107	5	6.82
3145	789	3	38.94
2752	103	4	12.98
113	6268	4	30.13
110	333	11	27.41
1998	101	9	34.67
6546	14	4	13.83
195	14	44	12.23
111	3730	4	23.96
85	9100	3	27.45
859	124	3	10.02
103	5596	3	12.86
85	172	6	5.37
103	1476	3	4.54
125	326	8	25.79
12	5385	3	8.51
120	4574	3	19.04
2431	118	3	14.32
5020	111	5	36.59
309	117	6	10.4
153	234	14	61.65
102	7020	3	14
102	2314	3	5.85
483	127	3	7.19
1746	12	6	10.19
1446	412	3	29.39
12	730	8	5.77
103	1647	3	5.04
157	161	6	9.51
4747	14	6	21.57
959	103	5	7.95
103	294	26	49.95
157	1799	3	19.38
127	276	5	9.24
129	5717	4	34.27
4260	14	5	14.34
3453	147	5	43.7
151	428	4	14.68
121	1022	4	15.21
102	633	17	46.02
101	3994	4	14.32
108	3986	5	31.63
110	302	7	10.08
134	400	4	10.87
106	3953	5	31.43
613	122	5	16.33
104	10467	3	20.47
5607	14	3	7.28
330	245	3	14.04
169	1469	9	81.79
1190	544	6	69.13
199	134	34	157.48
195	137	9	19.19
1781	103	4	9.3
950	111	3	7.24
196	4745	3	29.87
113	2068	4	18.66
829	151	3	13.79
122	108	44	21.26
120	868	4	13.34
518	143	5	20.65
659	280	3	20.38
104	968	21	107.48
104	3222	6	29.97
101	3138	7	30.74
219	120	21	60.68
663	140	4	15.8
12	1030	21	68.21
454	208	3	14.99
363	166	4	16.33
112	10077	4	39.23
120	1766	5	26.35
338	132	7	22.82
150	646	3	11.99
456	120	22	117.18
3066	139	6	49.89
3679	14	6	17.43
333	154	6	23.91
295	137	3	4.57
2087	113	3	12.2
136	257	4	6.12
112	1106	17	109.47
118	247	16	43.5
115	1758	6	31.37
646	106	6	15.92
116	841	3	7.52
106	3680	3	14.69
1275	1968	3	38.73
132	192	6	7.85
3158	14	6	15.42
113	105	299	799.67
112	480	27	144.16
121	10381	3	27.1
12592	8	3	33.44
6531	12	3	9.44
312	16	11	30
387	121	27	148.04
120	8247	3	24.48
2396	116	3	13.75
128	4195	4	30.88
1715	101	11	43.6
385	272	4	24.1
101	3494	3	8.36
4263	1528	3	45.47
554	182	3	14.97
152	4725	3	25.23
926	131	3	11.64
170	104	26	19.25
499	110	4	6.49
166	101	62	74.1
120	11060	3	26.7
1545	14	5	4.42
236	625	15	143.04
114	518	6	15.34
4081	103	3	10.68
2029	14	11	31.77
112	1200	3	8.66
106	2309	6	32.26
16	1787	3	12.16
680	101	22	73.14
6256	109	3	19.34
220	1475	3	23.35
101	1836	3	4.5
125	216	6	8.61
3103	127	3	19
307	102	21	29.81
1326	104	3	5.33
2127	348	4	43.04
103	228	66	187.25
186	642	4	23.94
12	2914	3	4.38
186	1324	3	21
101	934	5	6.03
3969	12	6	21.18
455	334	7	58.8
873	109	3	6.31
861	112	3	6.72
101	2608	12	64.92
103	1365	7	20.37
154	592	3	12.05
201	117	14	26.15
8	11071	4	44.58
133	1459	3	14.59
1847	14	5	5.77
4339	114	6	44.43
474	117	6	16.46
115	357	6	10.84
296	1706	3	27.43
3108	163	3	24.43
347	186	3	11.98
111	711	5	13.85
9414	6355	3	64.01
1155	12	8	11.91
230	304	4	19.15
106	5186	3	17.21
107	2166	10	65.35
323	1956	3	28.99
3255	147	3	22.09
2994	1409	5	76.74
298	2618	3	30.36
110	255	17	40.65
354	158	11	61.17
630	106	3	4.3
120	382	4	6.44
337	158	8	38.11
8896	9	5	55.85
279	137	4	7.09
129	5453	6	59.03
190	145	7	13.94
105	1663	4	14.17
6996	1491	3	49.84
148	192	9	23.67
183	151	5	8.15
177	1380	4	29.81
574	480	7	69.49
897	137	3	11.95
1748	116	3	11.69
157	148	28	100.3
774	113	7	26
3015	14	8	24.83
110	496	6	13.81
882	524	4	39.4
1939	111	6	31.41
571	116	4	8.95
113	205	8	6.09
734	103	6	8.49
116	596	3	5.52
140	309	4	8.77
162	324	5	20.21
3286	104	3	10.73
323	1388	4	38.26
255	197	4	14.64
111	1842	13	91.31
164	229	5	14.55
4244	14	3	5.32
101	6246	3	12.53
207	322	4	18.47
454	106	6	11.79
2052	156	3	20.29
3484	14	4	8.04
120	3243	3	16.76
180	313	3	10.46
102	8209	3	15.53
128	296	9	28.53
9234	190	3	37.27
12334	113	3	29.73
101	2379	3	5.87
3988	14	5	13.31
13	128	10	10.55
151	118	11	4.07
3849	14	3	4.83
210	1242	3	21.73
129	1317	6	35.78
6547	787	6	102.45
