150	266	21	12.29
274	744	10	40.68
305	143	203	1340.47
1292	12	27	9.18
453	108	37	28.28
190	2698	6	28.95
219	572	6	11.35
218	1427	3	7.13
156	351	11	7.39
10098	221	4	35.29
573	273	4	6.95
8790	112	4	12.65
12	7083	6	8.68
2073	2804	6	65.74
102	3616	9	7.11
1302	171	13	56.9
13132	103	3	7.34
85	2643	6	14.39
127	1607	7	10.36
455	194	6	6.79
364	183	28	88.78
936	682	3	13.88
2699	119	7	11.79
812	988	3	15.07
1951	12	23	22.02
1000	440	4	16.75
491	132	16	15.9
8	1686	7	11.76
214	166	18	9.4
8	4050	9	42.43
9332	104	4	11.97
253	1040	5	15.89
85	3392	4	8.32
85	1418	7	10.27
246	1205	3	7.05
7858	189	3	18.37
130	3661	5	12.68
728	1707	3	17.62
45	899	4	6.67
1712	322	4	18.08
12	1289	27	9.18
116	10783	4	18.63
101	8114	5	10.98
12	7990	5	7.24
105	6562	4	6.63
121	120	288	37.54
59	850	10	7.68
122	736	14	10.86
109	10222	3	8.24
137	9636	3	13.95
397	372	4	8.8
11010	2	3	13.58
771	106	16	7.19
3091	6245	7	110.35
110	118	445	49.08
2235	129	5	8.29
113	725	16	8.69
6576	168	3	13.9
106	5636	6	16.37
412	381	58	465.07
175	2115	3	7.18
103	14759	3	7.34
7292	332	3	22.6
14714	104	3	8.98
117	4153	5	10.11
127	9132	3	10.77
8166	113	3	7.1
1518	156	9	28.87
2	6003	3	8.82
6534	114	5	14.04
431	293	5	9.02
126	8671	3	10.83
114	6534	5	14.04
159	8683	5	36.27
2572	164	3	6.84
1546	166	4	8.15
169	134	63	30.22
14332	116	3	13.97
676	438	4	13.38
140	2032	8	20.21
747	12	43	6.68
237	415	10	23.14
1587	2601	3	25.56
948	45	5	10.79
8659	141	3	12.05
110	2799	8	12.5
735	105	20	9.26
132	491	16	15.9
131	122	176	23.02
1523	348	3	12.15
345	171	11	12.79
852	235	6	17.21
1970	249	5	22.74
2327	180	3	7.73
320	145	15	6.67
228	12	230	50.43
1337	143	6	8.62
134	1228	9	15.32
880	230	5	12.27
3809	5029	5	68.33
398	522	4	10.77
3711	123	4	7.49
841	2439	3	20.8
102	13534	3	6.65
2303	196	14	91.88
619	863	3	12.59
14399	723	3	37.04
10687	114	3	8.9
142	390	14	8.39
332	924	3	8.4
266	866	4	9.75
5727	239	8	73.05
105	10032	3	7.24
102	9404	4	8.87
462	12	73	11.17
115	7559	4	10.27
11877	103	3	7.34
437	195	10	18.47
3076	138	4	8.08
163	227	17	8.77
605	497	4	13.7
195	313	13	20.17
111	1976	15	35.23
138	7090	3	10.28
8034	111	3	6.71
7007	113	5	17.12
1090	103	22	8.89
782	397	3	9.79
5320	124	4	11.56
1263	114	38	167.09
148	1214	10	24.22
686	524	3	9.8
121	384	24	11.95
7971	105	4	10.55
212	372	7	8.37
103	7112	5	7.52
104	4210	7	10.25
159	5040	3	10.62
5976	110	4	8.05
12885	6159	3	51.7
763	276	4	9.69
103	682	34	9.54
101	1995	18	19.53
128	1769	6	8.18
7979	111	4	12.5
158	362	21	38.25
7731	137	3	11.81
103	6223	7	17.13
160	4571	3	10.4
306	132	33	37.29
242	957	4	9.6
178	983	10	35.12
685	178	5	7.35
121	679	15	11.18
1062	108	25	46.22
21	4216	6	26.58
454	1423	5	27.59
57	2987	6	13.45
690	609	4	16.69
147	194	36	20.78
124	103	634	16.35
122	1666	7	7.12
21	5930	3	11.4
393	1001	3	10.32
390	345	5	10.61
453	661	3	8.62
1107	12	32	12.02
7410	171	3	15.74
101	481	50	7.36
157	800	7	10.17
159	3336	3	7.8
7789	125	3	10.78
312	215	8	7.84
2804	121	6	10.15
190	2243	3	9.02
115	9858	3	8.81
11351	114	3	8.9
4474	102	8	12.26
7541	12	6	8.68
119	11176	3	10.17
546	108	23	8.97
130	6824	3	9.48
417	309	6	13.62
105	1301	13	9.27
127	2048	6	10.1
85	472	13	7.82
10975	103	4	9.79
1605	12	21	6.85
2858	162	3	7.51
2309	272	4	17.92
5536	4521	8	137.66
123	187	55	15.53
6125	123	3	7.23
12642	11582	3	61.26
112	7914	3	6.81
239	8857	5	45.61
565	111	20	7.93
470	2002	3	15.96
9870	2287	3	39.54
503	175	10	18.86
1150	103	24	14.95
736	122	14	10.86
3862	159	4	14.17
14020	103	3	7.34
740	8	11	11.19
142	12	777	71.96
3202	102	10	7.08
12187	103	3	7.34
266	433	7	14.6
3872	126	4	8.75
117	2979	6	9.67
231	1011	4	9.54
142	2818	4	7.75
8734	115	5	21.79
175	929	6	13.03
202	148	35	20.63
558	480	5	18.17
6500	841	3	28.1
7238	128	3	9.18
1254	5722	8	108.56
108	473	25	7.77
106	752	41	87.43
11189	111	4	17.26
163	794	7	11.93
3224	173	7	37.04
229	2495	4	16.74
164	924	6	10.11
320	346	7	15.2
6807	8	3	9.55
1310	314	5	21.79
538	483	3	7.69
537	12	63	9.91
106	1216	19	28.97
113	288	38	6.75
2745	152	4	10.46
132	250	26	9.33
1183	603	7	46.35
196	3172	4	16.67
376	938	3	9.47
196	5781	3	14.86
978	795	3	14.92
3091	101	15	32.96
262	494	5	9.67
263	118	44	14.79
13790	103	3	7.34
614	106	40	63.44
12450	111	3	12.95
1451	202	5	15.9
145	4891	3	8.6
5992	2058	7	102.81
404	128	20	17.12
1316	156	8	21.18
11265	158	3	17.59
439	588	3	7.95
6059	139	3	9.27
108	1121	13	8.85
192	245	13	10.55
112	659	19	10.66
2709	141	4	7.02
3734	139	4	10.08
168	327	11	9.6
2806	404	3	17.27
289	158	16	12.67
194	2710	3	9.61
8139	147	5	33.34
853	102	32	12.84
1559	138	13	38.99
8912	156	4	23.93
109	85	240	17.65
2138	127	5	6.78
173	4787	3	13.36
190	8912	4	29.37
366	1597	3	12.42
973	144	7	8.23
434	242	6	9.25
233	236	17	27.67
202	119	78	36.29
2	126	147	44.53
1126	9	9	12.42
146	1460	6	10.65
1124	1726	3	20.5
142	136	84	10.08
3742	302	3	16.56
463	989	5	23.97
2441	291	3	12.64
3977	106	8	18.91
2742	633	3	19.98
2140	156	6	18.42
257	242	10	11.09
108	2920	7	9.24
293	254	9	12.89
1972	564	4	25.05
59	10312	3	11.98
108	4505	5	8
3734	8	5	13.71
289	193	10	8.78
10196	105	3	7.24
3380	12	12	8.54
13139	2000	3	43.18
830	281	5	14.88
15083	103	3	7.34
346	184	13	21.68
11886	152	3	20.77
134	5057	3	7.29
3253	5345	4	51.54
1079	85	7	7.06
235	144	26	11.27
117	3902	5	9.15
5922	128	3	8.06
1125	357	5	22.53
117	1930	14	35.39
679	485	3	9.18
1608	1105	3	20.36
102	10907	4	8.87
4586	552	4	32.87
1421	107	11	8.77
105	11272	3	7.24
6629	149	3	12.1
374	198	7	7.23
948	467	5	23.65
8554	11948	3	54.53
112	447	47	63.38
293	1395	3	9.57
150	3640	3	7.03
152	2321	4	8.7
623	138	15	20.38
207	1603	4	11.62
178	1020	12	49.08
148	1927	5	9.92
5689	103	6	7.08
103	4656	7	7
4471	1183	5	53.27
2191	265	3	11.15
2163	222	3	9.43
9	218	46	29.01
190	1970	3	8.49
105	439	43	30.44
253	759	4	8.48
9	2458	6	12.93
126	312	27	18.13
1139	310	3	9.06
631	129	21	37.37
314	110	45	18.92
218	768	4	6.88
3281	21	3	6.86
203	8822	5	43.19
5045	118	5	12.54
126	5065	6	23.55
4056	57	4	8.7
102	4955	7	10.3
103	4839	7	8.99
57	3910	4	7.97
149	1828	6	13.73
2112	131	8	19.18
242	5100	3	16.17
2887	106	7	9.46
275	602	4	7.52
2858	189	4	15.24
8	2909	4	6.71
207	214	20	25.77
5386	57	3	6.72
691	300	7	25.04
183	498	16	44.68
490	1656	6	38.68
12476	3081	3	46.71
159	1649	6	15.2
103	2111	13	7.29
105	1338	15	15.77
103	3719	8	7.09
222	706	6	13.47
129	3014	5	10.46
1839	109	12	17.75
317	1212	3	9.54
4458	12661	3	49.04
861	843	3	14.34
1470	242	3	8.01
128	6581	3	8.06
12	4373	9	7.85
2970	171	4	14.38
11417	574	3	35.09
3575	1283	13	180.25
12	138	1090	498.29
101	504	50	11.81
793	104	25	9.46
488	209	7	11.39
151	5683	3	10.28
2806	10195	4	60.83
2560	114	7	8.55
552	906	9	56.26
2908	111	6	7.18
13530	102	3	6.65
339	658	3	6.86
308	1595	3	11.02
3879	103	8	7.09
1803	144	5	8.23
689	269	4	8.38
768	543	3	10.72
193	198	15	9.01
2234	572	3	18.04
165	14	620	19.02
472	109	38	34.42
7599	101	6	13.18
143	139	90	19.79
1629	241	4	13.66
115	2896	6	7.38
6754	16	4	11.48
433	4271	3	20.28
9379	114	3	8.9
1994	164	4	9.54
2600	169	3	7.72
3658	151	4	11.93
9691	7991	4	74.38
6627	447	6	66.77
5097	130	3	6.68
8394	57	3	10.19
3014	135	4	7.4
103	11065	4	9.79
12193	4521	3	49.04
818	9634	4	49.99
103	14780	3	7.34
204	476	6	7.79
4764	135	3	7.29
102	12666	3	6.65
1254	347	9	53.07
6092	125	4	18.16
258	1098	4	11.49
167	184	23	14.98
111	5411	4	7.15
1012	14	48	7.88
5270	137	3	8.25
9556	106	3	8.18
137	236	36	23.46
163	248	17	10.81
171	5462	3	13.55
2024	191	3	7.6
5951	145	3	10.34
139	989	15	35.2
16	1195	10	7.88
268	85	41	41.93
2275	166	18	122.08
1699	101	18	11.16
9632	145	3	15.17
1728	843	3	18.67
203	1488	3	6.76
1821	1025	3	20.42
10205	8	3	13.15
2444	116	7	9.37
10915	16	3	9.73
102	12083	3	6.65
121	13692	3	15.2
1017	7905	5	65.14
108	239	68	18.15
2168	468	4	24.21
985	471	3	11.49
953	344	3	8.97
11948	832	3	37.54
8	234	31	9.27
1294	165	4	6.83
240	513	6	11.24
112	9734	4	17.41
11004	241	4	36.4
130	3057	6	15.75
2254	125	5	7.6
129	2430	5	8.29
1328	16	11	12.75
160	3193	3	7.85
1302	212	5	15.37
187	645	6	9.66
12	371	98	16.54
155	289	19	16.08
105	5512	5	9.42
2969	1094	3	24.38
414	138	21	23.63
1407	121	8	8.12
5012	105	5	7.96
3065	111	6	7.92
3092	522	7	60.12
104	7761	4	7.47
1914	393	10	75.3
7275	119	3	6.72
631	3702	3	22.3
160	3999	3	9.77
190	1070	9	33.32
597	146	10	10.7
154	658	8	9.78
1751	11439	3	42.42
392	214	14	35.61
14462	105	3	11.42
8063	139	4	19.69
153	1784	5	10.31
7914	112	3	6.81
716	104	25	6.78
4899	171	3	12.71
277	138	28	17.5
6310	129	4	14.06
147	3085	6	20.47
240	807	4	8.16
396	275	6	10.54
110	9075	4	12.09
111	11189	4	17.26
3179	761	3	21.99
147	3455	4	11.97
14517	1907	3	42.92
515	110	24	10.3
160	6789	4	24.74
103	6827	5	7.52
6769	115	4	10.27
158	2827	3	6.91
222	1534	4	12.15
104	762	47	75.36
126	549	13	8.66
156	2081	4	9
9	17	13	18.36
158	2580	5	15.55
1742	126	7	11.36
5359	103	6	7.08
158	107	141	20.43
159	753	15	40.51
1898	14091	3	42.92
9016	12	5	7.24
513	196	12	30.38
1947	131	5	6.67
12	7688	6	8.68
103	6500	6	9.64
214	186	14	7.88
272	620	6	15.66
111	8744	3	6.71
2525	12	17	14.48
1972	6627	6	87.21
1153	257	3	7.21
737	1022	3	14.77
1274	488	3	13.1
110	3181	10	24.3
345	127	19	8.44
1399	536	3	14.34
165	5500	3	12.69
6271	130	3	8.35
140	374	18	13.39
4136	107	5	7.06
6634	120	4	12.4
3430	9	9	39.66
10472	103	4	9.79
1416	134	7	10.47
2470	121	7	12.45
7683	118	3	8.14
117	2490	6	7.71
104	13518	3	8.98
141	291	21	9.06
118	389	92	274.08
199	237	13	10.67
7663	114	5	16.77
565	420	5	16.89
9044	4194	5	81.84
10649	108	3	8.07
113	1108	12	9.66
12850	178	3	25.01
106	252	59	14.99
671	150	12	19.69
162	700	8	13.68
1339	128	7	7.98
569	2191	3	17.54
375	1096	3	10.35
469	2243	3	16.58
2516	139	5	10.18
10137	107	3	8.12
5398	104	6	9.97
134	475	15	12.25
259	638	4	7.29
102	11143	4	8.87
5123	119	5	12.52
264	273	8	8.82
235	431	6	8.8
15359	102	3	6.65
171	150	39	18.16
144	751	10	12.8
493	5212	4	32.91
1252	400	3	11.81
2145	102	15	12.95
430	2377	3	16.14
2534	173	7	32.89
592	187	7	12.1
432	638	9	44.63
2920	85	4	7.28
112	103	1071	7.58
123	10249	4	21.66
12661	4458	3	49.04
1862	166	4	9.46
5353	139	3	8.34
1676	249	4	14.66
181	1711	7	26.84
214	151	23	7.56
59	106	310	17.21
113	11168	3	9.11
458	3022	4	26.75
5506	872	8	101.74
1923	160	4	9.05
2468	404	5	33.3
691	7854	3	29.6
105	111	712	90.01
252	3033	4	19.59
186	522	7	10.64
104	470	54	36.03
11185	106	3	8.18
1298	311	4	15.56
3925	131	4	9.22
7574	150	3	12.28
578	473	4	13
4441	104	7	12.43
114	11016	4	17.55
252	2369	4	17.65
190	1472	3	6.81
7403	21	4	20.09
103	195	172	18.17
