rank,lemma,frequency,core_band,language
3179,autorin,12,Core-4000,de
3180,dauer,12,Core-4000,de
3181,neugierig,12,Core-4000,de
3182,erneuerbar,12,Core-4000,de
3183,empfehlung,12,Core-4000,de
3184,jetzig,12,Core-4000,de
3185,beeinträchtigung,12,Core-4000,de
3186,stadtverwaltung,12,Core-4000,de
3187,gegenzug,12,Core-4000,de
3188,kai,11,Core-4000,de
3189,direktor,11,Core-4000,de
3190,bundestrainer,11,Core-4000,de
3191,and,11,Core-4000,de
3192,rutschen,11,Core-4000,de
3193,nochmal,11,Core-4000,de
3194,cool,11,Core-4000,de
3195,ps,11,Core-4000,de
3196,unterschätzen,11,Core-4000,de
3197,werdend,11,Core-4000,de
3198,psychologisch,11,Core-4000,de
3199,digitalisierung,11,Core-4000,de
3200,geste,11,Core-4000,de
3201,freizeit,11,Core-4000,de
3202,hiesig,11,Core-4000,de
3203,daheim,11,Core-4000,de
3204,ankündigung,11,Core-4000,de
3205,absehen,11,Core-4000,de
3206,verlag,11,Core-4000,de
3207,freigeben,11,Core-4000,de
3208,ohr,11,Core-4000,de
3209,ring,11,Core-4000,de
3210,original,11,Core-4000,de
3211,übung,11,Core-4000,de
3212,ben,11,Core-4000,de
3213,stadtwerk,11,Core-4000,de
3214,weimar,11,Core-4000,de
3215,geflüchtet,11,Core-4000,de
3216,gramm,11,Core-4000,de
3217,fleisch,11,Core-4000,de
3218,klagenfurt,11,Core-4000,de
3219,webseite,11,Core-4000,de
3220,nazi,11,Core-4000,de
3221,comeback,11,Core-4000,de
3222,fliehen,11,Core-4000,de
3223,einhalten,11,Core-4000,de
3224,united,11,Core-4000,de
3225,hinnehmen,11,Core-4000,de
3226,gb,11,Core-4000,de
3227,rahmenbedingung,11,Core-4000,de
3228,fraglich,11,Core-4000,de
3229,brennend,11,Core-4000,de
3230,dominieren,11,Core-4000,de
3231,kleidung,11,Core-4000,de
3232,steiermark,11,Core-4000,de
3233,umfang,11,Core-4000,de
3234,route,11,Core-4000,de
3235,entnehmen,11,Core-4000,de
3236,islamistisch,11,Core-4000,de
3237,verurteilung,11,Core-4000,de
3238,richard,11,Core-4000,de
3239,gastgeber,11,Core-4000,de
3240,audi,11,Core-4000,de
3241,integriert,11,Core-4000,de
3242,einstellung,11,Core-4000,de
3243,zielen,11,Core-4000,de
3244,stufe,11,Core-4000,de
3245,einschätzen,11,Core-4000,de
3246,produzent,11,Core-4000,de
3247,computer,11,Core-4000,de
3248,reichweite,11,Core-4000,de
3249,neutralität,11,Core-4000,de
3250,openai,11,Core-4000,de
3251,ice,11,Core-4000,de
3252,kommunalwahl,11,Core-4000,de
3253,weichen,11,Core-4000,de
3254,lebenslang,11,Core-4000,de
3255,eintritt,11,Core-4000,de
3256,aufhalten,11,Core-4000,de
3257,zugriff,11,Core-4000,de
3258,duo,11,Core-4000,de
3259,venedig,11,Core-4000,de
3260,wohin,11,Core-4000,de
3261,abschaffen,11,Core-4000,de
3262,vorzeitig,11,Core-4000,de
3263,überwachung,11,Core-4000,de
3264,whatsapp,11,Core-4000,de
3265,kärntner,11,Core-4000,de
3266,abschieben,11,Core-4000,de
3267,defensive,11,Core-4000,de
3268,schwäche,11,Core-4000,de
3269,auswärtsspiel,11,Core-4000,de
3270,duisburg,11,Core-4000,de
3271,drastisch,11,Core-4000,de
3272,schuß,11,Core-4000,de
3273,grösst,11,Core-4000,de
3274,einstufung,11,Core-4000,de
3275,islamisch,11,Core-4000,de
3276,is,11,Core-4000,de
3277,erleichterung,11,Core-4000,de
3278,käse,11,Core-4000,de
3279,verstecken,11,Core-4000,de
3280,romantisch,11,Core-4000,de
3281,leo,11,Core-4000,de
3282,gleichnamig,11,Core-4000,de
3283,fröhlich,11,Core-4000,de
3284,geschmack,11,Core-4000,de
3285,metall,11,Core-4000,de
3286,fatal,11,Core-4000,de
3287,unfallverursacher,11,Core-4000,de
3288,auswerten,11,Core-4000,de
3289,optimistisch,11,Core-4000,de
3290,zelt,11,Core-4000,de
3291,präsidentin,11,Core-4000,de
3292,stadtgebiet,11,Core-4000,de
3293,aufregung,11,Core-4000,de
3294,abenteuer,11,Core-4000,de
3295,entwenden,11,Core-4000,de
3296,expertise,11,Core-4000,de
3297,tim,11,Core-4000,de
3298,schriftlich,11,Core-4000,de
3299,mercedes,11,Core-4000,de
3300,realistisch,11,Core-4000,de
3301,angrenzend,11,Core-4000,de
3302,tagesordnung,11,Core-4000,de
3303,klimaschutz,11,Core-4000,de
3304,günther,11,Core-4000,de
3305,präsent,11,Core-4000,de
3306,polizeiinspektion,11,Core-4000,de
3307,schlafen,11,Core-4000,de
3308,kapitän,11,Core-4000,de
3309,tierheim,11,Core-4000,de
3310,dorthin,11,Core-4000,de
3311,katharina,11,Core-4000,de
3312,gelegen,11,Core-4000,de
3313,zurückgehen,11,Core-4000,de
3314,flüchtling,11,Core-4000,de
3315,seitens,11,Core-4000,de
3316,bundesstaat,11,Core-4000,de
3317,physisch,11,Core-4000,de
3318,gemäß,11,Core-4000,de
3319,meilenstein,11,Core-4000,de
3320,ausbreiten,11,Core-4000,de
3321,plakat,11,Core-4000,de
3322,palästinensisch,11,Core-4000,de
